iter	MultiClass
0	3.045894124
1	3.001294133
2	2.940676155
3	2.879381863
4	2.821166466
5	2.767618749
6	2.719038655
7	2.677313705
8	2.638055505
9	2.596627761
10	2.553007873
11	2.50963949
12	2.473110644
13	2.436473963
14	2.401934459
15	2.371889422
16	2.33873135
17	2.306462053
18	2.277225337
19	2.249328545
20	2.21989672
21	2.189379086
22	2.158166996
23	2.129723678
24	2.105447326
25	2.084835243
26	2.059714854
27	2.033085526
28	2.008832247
29	1.986817812
30	1.962355452
31	1.936180164
32	1.912428889
33	1.886889519
34	1.862777377
35	1.840981762
36	1.821139255
37	1.797565376
38	1.775610615
39	1.757282076
40	1.736699071
41	1.717231744
42	1.696742201
43	1.676652302
44	1.658034044
45	1.639152853
46	1.624630498
47	1.607597873
48	1.588742695
49	1.569481263
50	1.551250513
51	1.534673067
52	1.516284298
53	1.500736483
54	1.485660859
55	1.468424959
56	1.456069176
57	1.440847974
58	1.42702006
59	1.414020045
60	1.398440008
61	1.383040832
62	1.368226973
63	1.353738611
64	1.339861402
65	1.326817209
66	1.313292246
67	1.298919861
68	1.286752808
69	1.275559825
70	1.262784223
71	1.250927363
72	1.23898333
73	1.228920502
74	1.217342839
75	1.206069453
76	1.193598465
77	1.18284945
78	1.173119288
79	1.162135152
80	1.152202508
81	1.141561493
82	1.130494262
83	1.12078874
84	1.111314252
85	1.103087358
86	1.093725563
87	1.083749033
88	1.074582766
89	1.064979455
90	1.056484516
91	1.047912555
92	1.037722101
93	1.028458848
94	1.021075761
95	1.013212965
96	1.004447485
97	0.9959686591
98	0.9886012326
99	0.980761536
