iter	Passed	Remaining
0	15	15564
1	27	13484
2	41	13786
3	53	13418
4	67	13341
5	77	12881
6	90	12871
7	103	12860
8	114	12647
9	127	12586
10	140	12639
11	151	12501
12	161	12286
13	173	12199
14	187	12286
15	199	12241
16	210	12193
17	223	12200
18	236	12198
19	247	12117
20	258	12058
21	271	12048
22	283	12040
23	297	12090
24	310	12099
25	323	12110
26	335	12103
27	348	12096
28	359	12043
29	371	12007
30	381	11927
31	393	11904
32	405	11882
33	416	11842
34	430	11871
35	443	11886
36	455	11867
37	466	11799
38	476	11744
39	489	11746
40	501	11730
41	514	11727
42	526	11712
43	538	11703
44	550	11691
45	563	11689
46	576	11688
47	590	11707
48	605	11745
49	619	11769
50	632	11762
51	644	11744
52	659	11788
53	672	11788
54	685	11779
55	700	11807
56	714	11825
57	728	11829
58	741	11822
59	754	11815
60	768	11825
61	782	11842
62	794	11821
63	808	11825
64	823	11843
65	836	11841
66	853	11881
67	867	11884
68	880	11875
69	893	11874
70	907	11875
71	920	11864
72	933	11856
73	947	11851
74	960	11840
75	974	11850
76	990	11870
77	1004	11872
78	1017	11856
79	1031	11862
80	1045	11864
81	1058	11852
82	1073	11859
83	1086	11853
84	1100	11848
85	1113	11829
86	1124	11802
87	1137	11786
88	1149	11767
89	1161	11740
90	1172	11711
91	1184	11692
92	1196	11671
93	1207	11641
94	1219	11618
95	1232	11601
96	1243	11572
97	1254	11545
98	1268	11541
99	1280	11522
100	1291	11498
101	1305	11496
102	1318	11482
103	1331	11467
104	1341	11436
105	1353	11414
106	1367	11410
107	1380	11401
108	1394	11395
109	1405	11374
110	1417	11355
111	1431	11347
112	1442	11324
113	1453	11297
114	1466	11288
115	1479	11273
116	1490	11252
117	1501	11226
118	1514	11211
119	1525	11189
120	1537	11167
121	1549	11153
122	1563	11148
123	1575	11126
124	1586	11103
125	1598	11085
126	1610	11067
127	1620	11040
128	1632	11020
129	1644	11002
130	1654	10977
131	1667	10962
132	1679	10945
133	1689	10921
134	1701	10900
135	1714	10889
136	1725	10869
137	1736	10848
138	1748	10832
139	1763	10831
140	1775	10814
141	1786	10791
142	1798	10779
143	1810	10764
144	1821	10743
145	1832	10720
146	1845	10711
147	1859	10707
148	1873	10701
149	1884	10679
150	1897	10665
151	1909	10652
152	1920	10634
153	1932	10616
154	1946	10611
155	1959	10600
156	1970	10580
157	1982	10567
158	1996	10558
159	2009	10550
160	2023	10543
161	2037	10539
