iter	RMSE
0	48.39463539
1	48.18015652
2	47.76054388
3	47.44228318
4	47.07033415
5	46.80182275
6	46.37108065
7	46.14747847
8	45.73004523
9	45.38086648
10	44.96314775
11	44.63406804
12	44.22414742
13	43.80441614
14	43.52133063
15	43.21016739
16	42.91290036
17	42.45020542
18	42.0752818
19	41.86223825
20	41.56527442
21	41.2795243
22	40.95775844
23	40.62619739
24	40.3311421
25	39.98370544
26	39.64745435
27	39.29833017
28	38.97521241
29	38.68889381
30	38.42557294
31	38.16105537
32	37.87679819
33	37.67605364
34	37.33413742
35	37.05640945
36	36.78369667
37	36.49048922
38	36.19306499
39	35.84184676
40	35.70078008
41	35.58401283
42	35.3249269
43	35.02998923
44	34.78528578
45	34.52532687
46	34.37042269
47	34.15499734
48	33.93856961
49	33.76234516
50	33.52801586
51	33.23046987
52	33.04183328
53	32.76811849
54	32.55670195
55	32.28168507
56	32.22345079
57	31.98233721
58	31.79605501
59	31.56499604
60	31.34616795
61	31.13346688
62	31.03352202
63	30.80269885
64	30.62565736
65	30.46050497
66	30.30621584
67	30.08804353
68	29.91147885
69	29.72979604
70	29.51702871
71	29.42795419
72	29.26885055
73	29.16982135
74	28.99266899
75	28.85149089
76	28.7556027
77	28.5964772
78	28.46687227
79	28.30725112
80	28.2316404
81	28.07701213
82	27.88249553
83	27.73161548
84	27.57752116
85	27.45897789
86	27.34110937
87	27.22062705
88	27.06500148
89	26.9097112
90	26.75510885
91	26.62291376
92	26.48933552
93	26.35608071
94	26.25088611
95	26.12279451
96	26.02607722
97	25.86797673
98	25.7422264
99	25.66949319
100	25.55537048
101	25.45707355
102	25.33408777
103	25.26285562
104	25.14625713
105	25.07203471
106	24.99204192
107	24.90041299
108	24.81982765
109	24.69352812
110	24.59682821
111	24.4992577
112	24.35137225
113	24.24207834
114	24.16195676
115	24.03621352
116	23.87325852
117	23.83854121
118	23.71051468
119	23.66340234
120	23.5183857
121	23.39015977
122	23.26773084
123	23.17892345
124	23.08816408
125	22.99589006
126	22.93809842
127	22.85835334
128	22.74831827
129	22.64219226
130	22.52517033
131	22.42931927
132	22.34907523
133	22.25632939
134	22.17257663
135	21.98741927
136	21.90621811
137	21.82401596
138	21.75391674
139	21.65627077
140	21.54609814
141	21.43538733
142	21.37407469
143	21.28047369
144	21.20720879
145	21.16341199
146	21.099017
147	21.00328475
148	20.91831116
149	20.82432227
150	20.78160047
151	20.73165255
152	20.68868396
153	20.62370742
154	20.52425281
155	20.46495066
156	20.37596919
157	20.33975258
158	20.24930029
159	20.17241764
160	20.11171504
161	20.06506962
162	20.02348609
163	19.96054708
164	19.86814273
165	19.812933
166	19.71874254
167	19.66716312
168	19.57674086
169	19.50898964
170	19.43699814
171	19.35124669
172	19.27354811
173	19.18049057
174	19.09857921
175	19.0408944
176	18.99100964
177	18.92589794
178	18.85015581
179	18.75524668
180	18.7369182
181	18.68492051
182	18.59253341
183	18.53506862
184	18.48599933
185	18.43059471
186	18.35016215
187	18.31096689
188	18.24178632
189	18.189665
190	18.12700719
191	18.0420133
192	17.96529931
193	17.88495101
194	17.82182191
195	17.7501165
196	17.68517574
197	17.61458783
198	17.57355675
199	17.49625294
200	17.40603769
201	17.34214707
202	17.25230451
203	17.19172606
204	17.13609929
205	17.07501486
206	17.01412495
207	16.93189703
208	16.86964758
209	16.80678024
210	16.7193652
211	16.66026039
212	16.56387471
213	16.51227915
214	16.43341797
215	16.37422255
216	16.33488028
217	16.28202966
218	16.22623418
219	16.18107228
220	16.11000681
221	16.04205903
222	15.99757865
223	15.9276128
224	15.87728171
225	15.8193726
226	15.75159379
227	15.68715088
228	15.62467257
229	15.57882914
230	15.52829304
231	15.48312385
232	15.40359795
233	15.34469084
234	15.28792696
235	15.23489065
236	15.17655864
237	15.13295315
238	15.07069833
239	15.02067713
240	14.96496901
241	14.91234502
242	14.87238518
243	14.82665513
244	14.78059957
245	14.73741856
246	14.69860518
247	14.66073026
248	14.61572342
249	14.56678878
250	14.52542136
251	14.49722977
252	14.44714014
253	14.41307648
254	14.36772508
255	14.33145389
256	14.27906455
257	14.23149194
258	14.19388403
259	14.14830021
260	14.1103178
261	14.05746751
262	14.02105936
263	13.9855899
264	13.93139728
265	13.89831538
266	13.85803283
267	13.81600341
268	13.77431281
269	13.73683077
270	13.69501091
271	13.65989812
272	13.62051957
273	13.59333343
274	13.5567305
275	13.5189471
276	13.4734529
277	13.43536326
278	13.39887543
279	13.36470454
280	13.33620562
281	13.3078765
282	13.27117778
283	13.2387268
284	13.20790756
285	13.17427077
286	13.13646268
287	13.10156269
288	13.0603286
289	13.02908991
290	12.99961823
291	12.96081162
292	12.93635423
293	12.89782234
294	12.86673196
295	12.83744085
296	12.80059628
297	12.77258784
298	12.75449365
299	12.72205633
300	12.69245808
301	12.66348161
302	12.64369237
303	12.61602325
304	12.59131677
305	12.56360912
306	12.53419589
307	12.50318906
308	12.47915103
309	12.43886463
310	12.40896935
311	12.39450053
312	12.3559563
313	12.33847111
314	12.31862747
315	12.29050887
316	12.2657342
317	12.24880723
318	12.23204565
319	12.19627261
320	12.17764747
321	12.1613888
322	12.1314974
323	12.11353008
324	12.09013745
325	12.06837594
326	12.03736669
327	12.00432601
328	11.98312418
329	11.96765654
330	11.9506997
331	11.93624066
332	11.91501013
333	11.89379421
334	11.87262636
335	11.85951703
336	11.84409302
337	11.82418418
338	11.79941505
339	11.78047438
340	11.75926906
341	11.7406978
342	11.71720767
343	11.70628552
344	11.6953766
345	11.67587116
346	11.66358774
347	11.64020337
348	11.61899734
349	11.60910503
350	11.58957136
351	11.57988785
352	11.57041522
353	11.55288983
354	11.54361159
355	11.53453376
356	11.51735966
357	11.50846536
358	11.49777322
359	11.4779139
360	11.45965593
361	11.4512418
362	11.43479886
363	11.42650499
364	11.41838574
365	11.40043958
366	11.37724987
367	11.36128346
368	11.3532946
369	11.3361064
370	11.32827572
371	11.32060797
372	11.30374371
373	11.29622643
374	11.27994272
375	11.26508797
376	11.25778783
377	11.25063693
378	11.23411937
379	11.21971974
380	11.19840918
381	11.17120646
382	11.16429969
383	11.14960213
384	11.13375129
385	11.12027821
386	11.09280809
387	11.08616693
388	11.07966017
389	11.07328474
390	11.0583009
391	11.04307698
392	11.02814565
393	11.02196459
394	11.00923828
395	11.00317634
396	10.97732303
397	10.96364812
398	10.94707604
399	10.92739002
400	10.92148985
401	10.90745283
402	10.88835206
403	10.88262595
404	10.86682665
405	10.86115893
406	10.84820172
407	10.83482424
408	10.81020002
409	10.80534113
410	10.78957157
411	10.77474786
412	10.76928924
413	10.76393995
414	10.75869753
415	10.73881417
416	10.72650268
417	10.71436132
418	10.70185365
419	10.691613
420	10.68655922
421	10.68160619
422	10.67675167
423	10.66519709
424	10.64648474
425	10.63668104
426	10.61068173
427	10.60114468
428	10.57806506
429	10.56223922
430	10.54866884
431	10.52623975
432	10.51105006
433	10.50035895
434	10.47851778
435	10.47401566
436	10.45707294
437	10.44681629
438	10.43239817
439	10.41814451
440	10.41382224
441	10.40130721
442	10.3975668
443	10.38939331
444	10.37580873
445	10.36373447
446	10.35390053
447	10.35028411
448	10.34250307
449	10.33893076
450	10.33039151
451	10.31893568
452	10.31545031
453	10.31152757
454	10.30242322
455	10.29008725
456	10.2748851
457	10.26404471
458	10.25143409
459	10.24765338
460	10.22947729
461	10.21885973
462	10.20717881
463	10.19438149
464	10.18238968
465	10.17108107
466	10.16097812
467	10.14998808
468	10.13775244
469	10.12637823
470	10.10906531
471	10.10578573
472	10.0979264
473	10.08741505
474	10.07791124
475	10.06698811
476	10.05093876
477	10.03582224
478	10.0250744
479	10.02219259
480	10.01895142
481	10.00991395
482	9.994372834
483	9.984168861
484	9.974012387
485	9.971201788
486	9.961441283
487	9.945304195
488	9.936469213
489	9.926999311
490	9.924314182
491	9.91293888
492	9.897790412
493	9.881839143
494	9.875162891
495	9.872552012
496	9.864206161
497	9.855241511
498	9.846255703
499	9.836201367
500	9.8212742
501	9.807183625
502	9.799315966
503	9.785117196
504	9.771425403
505	9.762801518
506	9.753305439
507	9.738872568
508	9.724647679
509	9.71088591
510	9.701561735
511	9.687816828
512	9.673085521
513	9.660283096
514	9.646867802
515	9.639487034
516	9.626979039
517	9.618227077
518	9.607530795
519	9.593701961
520	9.588421629
521	9.580923053
522	9.568556942
523	9.556108441
524	9.548846196
525	9.540859029
526	9.528898174
527	9.516857907
528	9.505177813
529	9.500407739
530	9.493416363
531	9.481746577
532	9.470375185
533	9.463603151
534	9.456181228
535	9.445488037
536	9.4344913
537	9.427362172
538	9.416334315
539	9.410086362
540	9.399453507
541	9.388744169
542	9.384224146
543	9.377890781
544	9.367540104
545	9.356505575
546	9.346449375
547	9.34031977
548	9.333791843
549	9.323701094
550	9.319344286
551	9.309616353
552	9.305373258
553	9.295796343
554	9.28608169
555	9.28076586
556	9.272982212
557	9.263567026
558	9.255990009
559	9.245677717
560	9.239314491
561	9.23468917
562	9.22310769
563	9.21583287
564	9.211354999
565	9.202658588
566	9.198245965
567	9.188547034
568	9.182564223
569	9.176721371
570	9.165904935
571	9.157656964
572	9.153380509
573	9.14847279
574	9.141719061
575	9.133023583
576	9.125131188
577	9.121480618
578	9.115317128
579	9.105243778
580	9.09884944
581	9.094857153
582	9.085102325
583	9.083324231
584	9.075651581
585	9.071817735
586	9.06850939
587	9.060140994
