iter	Passed	Remaining
0	2	28694
1	5	28760
2	8	27027
3	10	26162
4	12	25148
5	14	24929
6	17	25362
7	19	24817
8	22	24817
9	25	24989
10	27	24851
11	29	24440
12	31	23955
13	34	24422
14	37	24925
15	40	25491
16	43	25453
17	45	25203
18	47	25020
19	50	25299
20	52	25131
21	54	24855
22	56	24699
23	59	24557
24	60	24304
25	62	24147
26	65	24245
27	67	24216
28	70	24278
29	72	24172
30	74	23997
31	76	23833
32	79	23908
33	82	24064
34	84	24083
35	87	24096
36	89	24049
37	91	23870
38	93	23777
39	95	23696
40	98	23887
41	100	23815
42	102	23702
43	104	23645
44	106	23564
45	108	23465
46	110	23359
47	113	23478
48	115	23484
49	117	23442
50	119	23396
51	121	23337
52	123	23235
53	125	23149
54	128	23253
55	131	23293
56	133	23204
57	135	23148
58	137	23110
59	139	23062
60	140	22953
61	143	23007
62	146	23039
63	148	23013
64	150	22998
65	152	22944
66	154	22882
67	156	22819
68	158	22787
69	161	22876
70	163	22881
71	165	22853
72	167	22838
73	169	22788
74	171	22714
75	173	22670
76	176	22738
77	179	22771
78	181	22747
79	183	22697
80	185	22669
81	186	22591
82	188	22550
83	191	22566
84	194	22663
85	196	22675
86	198	22655
87	200	22626
88	202	22582
89	204	22545
90	207	22602
91	210	22678
92	213	22715
93	216	22784
94	218	22799
95	221	22845
96	224	22907
97	227	23027
98	230	23059
99	232	23027
100	234	22962
101	236	22921
102	238	22957
103	242	23030
104	244	23001
105	246	22995
106	248	22942
107	250	22909
108	252	22873
109	255	22942
110	257	22941
111	259	22906
112	261	22880
113	264	22894
114	266	22865
115	268	22850
116	270	22863
117	273	22899
118	275	22906
119	277	22888
120	279	22858
121	281	22803
122	283	22799
123	286	22819
124	288	22805
125	290	22773
126	292	22757
127	294	22731
128	296	22682
129	298	22659
130	300	22670
131	303	22701
132	305	22682
133	307	22669
134	310	22658
135	312	22629
136	313	22605
137	315	22568
138	318	22592
139	320	22605
140	323	22607
141	325	22586
142	327	22568
143	329	22535
144	331	22528
145	334	22555
146	336	22563
147	338	22553
148	340	22538
149	342	22516
150	344	22493
151	346	22467
152	349	22479
153	351	22500
154	353	22470
155	355	22458
156	357	22433
157	359	22412
158	361	22368
159	363	22373
160	366	22416
161	369	22417
162	371	22413
163	373	22396
164	375	22377
165	377	22356
166	379	22349
167	382	22398
168	385	22401
169	387	22411
170	390	22418
171	392	22399
172	393	22379
173	397	22429
174	400	22466
175	402	22476
176	405	22497
177	407	22496
178	410	22497
179	412	22519
180	415	22556
181	417	22545
182	420	22538
183	422	22531
184	424	22501
185	425	22468
186	429	22513
187	431	22529
188	433	22517
189	435	22503
190	437	22491
191	439	22468
192	441	22443
193	444	22469
194	447	22479
195	449	22471
196	451	22466
197	453	22453
198	455	22431
199	457	22405
200	460	22435
201	463	22478
202	465	22469
203	467	22452
204	469	22442
205	471	22423
206	473	22399
207	476	22434
208	479	22446
209	481	22441
210	483	22444
211	485	22434
212	487	22412
213	489	22406
214	493	22437
215	495	22462
216	498	22483
217	501	22504
218	503	22492
219	505	22493
220	508	22517
221	511	22515
222	513	22516
223	516	22554
224	519	22550
225	520	22528
226	524	22586
227	527	22608
228	530	22637
229	532	22633
230	534	22615
231	537	22614
232	540	22668
233	543	22683
234	546	22702
235	549	22720
236	552	22739
237	555	22780
238	558	22813
239	561	22842
240	565	22887
241	568	22924
242	572	22994
243	577	23085
244	581	23145
245	584	23169
246	589	23275
247	596	23462
248	600	23526
249	606	23638
250	611	23734
251	615	23790
252	619	23885
253	623	23926
254	626	23950
255	630	23981
256	634	24048
257	637	24080
258	640	24098
259	643	24107
260	648	24183
261	651	24207
262	654	24223
263	656	24220
264	659	24223
265	662	24234
266	666	24282
267	669	24297
268	672	24324
269	675	24338
270	678	24374
271	683	24432
272	686	24455
273	689	24467
274	692	24483
275	695	24516
276	698	24521
277	701	24527
278	703	24500
279	705	24484
280	707	24465
281	710	24478
282	713	24492
283	717	24537
284	719	24529
285	721	24500
286	723	24484
287	726	24510
288	729	24502
289	731	24506
290	735	24533
291	737	24516
292	739	24499
293	742	24523
294	745	24525
295	748	24532
296	750	24515
297	752	24507
298	754	24490
299	757	24484
300	760	24508
301	762	24499
302	765	24510
303	768	24501
304	770	24481
305	773	24504
306	776	24503
307	778	24506
308	781	24521
309	784	24508
310	786	24494
311	788	24499
312	791	24510
313	795	24530
314	797	24519
315	799	24503
316	801	24487
317	804	24499
318	807	24511
319	809	24500
320	812	24491
321	814	24483
322	816	24459
323	819	24462
324	822	24471
325	824	24463
326	827	24469
327	829	24449
328	831	24432
329	833	24420
330	836	24431
331	839	24440
332	841	24433
333	844	24430
334	846	24417
335	848	24393
336	850	24396
337	854	24414
338	856	24419
339	859	24413
340	861	24416
341	863	24397
342	866	24395
343	869	24410
344	872	24409
345	874	24399
346	876	24381
347	878	24369
348	881	24367
349	884	24390
350	887	24392
351	889	24386
352	892	24384
353	894	24368
354	895	24341
355	898	24341
356	901	24354
357	904	24347
358	906	24347
359	908	24329
360	910	24312
361	912	24294
362	915	24305
363	918	24311
364	921	24315
365	923	24318
366	926	24311
367	928	24294
368	931	24315
369	934	24317
370	939	24390
371	942	24389
372	944	24385
373	948	24405
374	950	24406
375	954	24428
376	956	24421
377	959	24421
378	962	24425
379	965	24439
380	968	24439
381	970	24442
382	974	24456
383	976	24446
384	979	24453
385	981	24457
386	984	24462
387	987	24458
388	989	24443
389	991	24435
390	994	24444
391	997	24445
392	1000	24446
393	1002	24429
394	1003	24409
395	1005	24393
396	1008	24387
397	1010	24386
398	1013	24380
399	1015	24365
400	1017	24358
401	1020	24357
402	1022	24340
403	1024	24332
404	1027	24341
405	1029	24333
406	1031	24318
407	1034	24314
408	1036	24298
409	1038	24281
410	1041	24301
411	1043	24294
412	1046	24288
413	1048	24267
414	1049	24247
415	1051	24236
416	1053	24215
417	1055	24206
418	1059	24215
419	1061	24220
420	1064	24211
421	1066	24205
422	1068	24195
423	1071	24191
424	1074	24199
425	1076	24193
426	1079	24198
427	1081	24188
428	1083	24183
429	1086	24172
430	1088	24171
431	1091	24166
432	1093	24169
433	1096	24161
434	1098	24152
435	1100	24142
436	1103	24140
437	1106	24145
438	1108	24135
439	1110	24132
440	1113	24133
441	1115	24125
442	1117	24112
443	1121	24134
444	1123	24131
445	1126	24138
446	1128	24127
447	1131	24118
448	1133	24112
449	1136	24114
450	1138	24115
451	1141	24115
452	1143	24109
453	1146	24112
454	1149	24106
455	1152	24115
456	1155	24120
457	1157	24117
458	1160	24120
459	1162	24119
460	1165	24109
461	1168	24127
462	1171	24139
463	1174	24146
464	1177	24138
465	1180	24142
466	1182	24137
467	1185	24144
468	1187	24139
469	1190	24130
470	1192	24129
471	1194	24116
472	1196	24102
473	1199	24111
474	1202	24111
475	1204	24105
476	1207	24101
477	1209	24091
478	1211	24081
479	1214	24082
480	1217	24088
481	1219	24087
482	1222	24083
483	1224	24076
484	1226	24071
485	1229	24072
486	1232	24077
487	1234	24072
488	1237	24061
489	1239	24058
490	1241	24042
491	1243	24026
492	1246	24032
493	1248	24030
494	1251	24022
495	1253	24021
496	1257	24036
497	1259	24038
498	1262	24034
499	1264	24030
500	1267	24029
501	1269	24027
502	1273	24035
503	1276	24045
504	1280	24071
505	1282	24071
506	1285	24064
507	1287	24049
508	1288	24031
509	1291	24030
510	1294	24033
511	1297	24052
512	1300	24055
513	1303	24062
514	1306	24061
515	1308	24058
516	1311	24061
517	1313	24050
518	1316	24046
519	1318	24035
520	1320	24020
521	1322	24008
522	1324	24006
523	1326	23996
524	1328	23981
525	1331	23973
526	1333	23965
527	1335	23950
528	1337	23946
529	1340	23948
530	1342	23945
531	1345	23940
532	1347	23937
533	1350	23935
534	1352	23930
535	1354	23924
536	1358	23933
537	1360	23932
538	1363	23927
539	1365	23922
540	1367	23910
541	1369	23900
542	1372	23911
543	1375	23910
544	1377	23904
545	1379	23890
546	1381	23872
547	1383	23860
548	1386	23860
549	1388	23863
550	1391	23862
551	1393	23858
552	1395	23846
553	1398	23836
554	1399	23819
555	1402	23816
556	1404	23817
557	1407	23809
558	1409	23800
559	1411	23790
560	1413	23780
561	1415	23769
562	1417	23758
563	1419	23757
564	1422	23750
565	1424	23744
566	1426	23734
567	1428	23722
568	1430	23706
569	1432	23700
570	1435	23699
571	1437	23693
572	1439	23684
573	1441	23677
574	1443	23664
575	1445	23658
576	1447	23646
577	1450	23638
578	1453	23642
579	1455	23634
580	1457	23623
581	1459	23619
582	1461	23602
583	1462	23587
584	1465	23580
585	1467	23580
586	1469	23570
587	1472	23564
588	1474	23558
589	1476	23546
590	1478	23534
591	1480	23523
592	1482	23521
593	1485	23524
594	1487	23517
595	1489	23509
596	1492	23500
597	1493	23488
598	1495	23475
599	1498	23474
600	1499	23450
601	1501	23444
602	1503	23432
603	1505	23426
604	1507	23413
605	1509	23403
606	1511	23391
607	1514	23392
608	1516	23387
609	1518	23381
610	1521	23374
611	1523	23363
612	1525	23354
613	1527	23344
614	1529	23341
615	1532	23342
616	1534	23330
617	1536	23322
618	1538	23313
619	1540	23304
620	1542	23299
621	1545	23301
622	1548	23306
623	1550	23299
624	1552	23293
625	1555	23288
626	1557	23277
627	1559	23268
628	1561	23257
629	1564	23264
630	1566	23262
631	1568	23255
632	1571	23247
633	1573	23242
634	1575	23229
635	1577	23226
636	1580	23229
637	1583	23229
638	1585	23226
639	1587	23216
640	1589	23201
641	1590	23189
642	1593	23188
643	1596	23187
644	1598	23179
645	1600	23174
646	1602	23163
647	1604	23151
648	1606	23141
649	1608	23131
650	1610	23134
651	1613	23129
652	1615	23123
653	1617	23118
654	1619	23108
655	1621	23093
656	1622	23079
657	1625	23075
658	1628	23077
659	1629	23064
660	1632	23058
661	1634	23055
662	1636	23044
663	1638	23032
664	1640	23025
665	1642	23025
666	1645	23021
667	1647	23016
668	1649	23012
669	1651	23001
670	1653	22992
671	1655	22978
672	1657	22974
673	1660	22977
674	1662	22970
675	1665	22965
676	1667	22959
677	1668	22947
678	1670	22935
679	1673	22931
680	1675	22934
681	1678	22932
682	1680	22927
683	1682	22917
684	1684	22905
685	1686	22892
686	1688	22887
687	1690	22887
688	1693	22882
689	1695	22874
690	1696	22857
691	1698	22848
692	1700	22839
693	1702	22827
694	1704	22824
695	1707	22825
696	1709	22818
697	1711	22810
698	1713	22801
699	1715	22794
700	1717	22782
701	1719	22772
702	1722	22780
703	1725	22779
704	1727	22773
705	1729	22768
706	1731	22760
707	1733	22749
708	1736	22753
709	1739	22755
710	1741	22756
711	1744	22750
712	1746	22742
713	1748	22735
714	1750	22726
715	1752	22724
716	1755	22724
717	1757	22725
718	1760	22719
719	1762	22714
720	1764	22705
721	1766	22696
722	1768	22691
723	1771	22690
724	1773	22687
725	1775	22684
726	1778	22679
727	1779	22667
728	1781	22659
729	1782	22633
730	1784	22628
731	1786	22625
732	1789	22622
733	1791	22615
734	1793	22608
735	1795	22601
736	1797	22593
737	1799	22585
738	1802	22589
739	1804	22584
740	1806	22577
741	1809	22573
742	1810	22562
743	1812	22552
744	1814	22543
745	1817	22541
746	1819	22537
747	1821	22530
748	1823	22525
749	1825	22517
750	1827	22505
751	1829	22499
752	1831	22492
753	1834	22490
754	1836	22493
755	1839	22489
756	1841	22483
757	1843	22479
758	1845	22473
759	1848	22470
760	1850	22469
761	1853	22464
762	1855	22462
763	1857	22458
764	1859	22452
765	1862	22446
766	1864	22442
767	1866	22440
768	1869	22443
769	1872	22440
770	1874	22433
771	1876	22429
772	1879	22429
773	1882	22436
774	1884	22435
775	1887	22437
776	1890	22442
777	1892	22435
778	1895	22431
779	1897	22432
780	1899	22426
781	1902	22420
782	1904	22413
783	1906	22406
784	1908	22399
785	1910	22392
786	1912	22392
787	1915	22394
788	1917	22389
789	1919	22382
790	1921	22376
791	1924	22369
792	1926	22364
793	1929	22366
794	1931	22367
795	1934	22364
796	1936	22358
797	1938	22349
798	1940	22341
799	1942	22334
800	1944	22336
801	1947	22337
802	1950	22334
803	1952	22331
804	1954	22324
805	1956	22321
806	1959	22318
807	1961	22319
808	1964	22319
809	1967	22317
810	1969	22312
811	1971	22308
812	1973	22303
813	1976	22306
814	1978	22301
815	1980	22295
816	1983	22290
817	1985	22282
818	1986	22272
819	1989	22267
820	1991	22265
821	1993	22262
822	1995	22253
823	1997	22247
824	1999	22241
825	2002	22235
826	2004	22228
827	2006	22228
828	2009	22228
829	2011	22222
830	2013	22217
831	2015	22211
832	2017	22204
833	2019	22194
834	2021	22191
835	2024	22194
836	2026	22189
837	2029	22185
838	2031	22180
839	2033	22171
840	2035	22167
841	2037	22160
842	2040	22159
843	2042	22157
844	2044	22151
845	2046	22147
846	2049	22142
847	2050	22132
848	2052	22122
849	2054	22117
850	2057	22116
851	2059	22117
852	2062	22113
853	2064	22106
854	2066	22098
855	2067	22090
856	2070	22091
857	2073	22088
858	2075	22081
859	2077	22078
860	2079	22072
861	2081	22064
862	2083	22056
863	2085	22055
864	2088	22054
865	2090	22051
866	2092	22045
867	2094	22039
868	2096	22031
869	2098	22021
870	2100	22015
871	2103	22016
872	2105	22013
873	2108	22011
874	2110	22010
875	2112	22002
876	2114	21995
877	2117	21995
878	2120	21999
879	2122	21998
880	2125	21997
881	2127	21992
882	2129	21986
883	2131	21976
884	2133	21973
885	2136	21974
886	2138	21971
887	2140	21966
888	2142	21962
889	2144	21954
890	2146	21946
891	2149	21949
892	2152	21948
893	2154	21949
894	2157	21949
895	2159	21944
896	2161	21935
897	2163	21932
898	2166	21929
899	2168	21927
900	2171	21924
901	2173	21918
902	2175	21912
903	2177	21906
904	2179	21900
905	2181	21898
906	2184	21896
907	2185	21888
908	2188	21884
909	2190	21879
910	2192	21869
911	2193	21862
912	2196	21857
913	2198	21858
914	2201	21854
915	2203	21848
916	2205	21844
917	2207	21836
918	2209	21829
919	2211	21821
920	2213	21820
921	2215	21817
922	2217	21812
923	2220	21807
924	2222	21801
925	2223	21791
926	2225	21785
927	2228	21784
928	2231	21784
929	2233	21778
930	2235	21773
931	2237	21770
932	2239	21764
933	2241	21755
934	2243	21751
935	2246	21751
936	2249	21753
937	2251	21750
938	2253	21747
939	2255	21741
940	2257	21733
941	2259	21730
942	2262	21731
943	2265	21729
944	2266	21722
945	2269	21718
946	2271	21715
947	2273	21707
948	2275	21702
949	2278	21703
950	2280	21698
951	2282	21694
952	2284	21690
953	2286	21683
954	2288	21675
955	2290	21671
956	2293	21671
957	2295	21670
958	2297	21663
959	2300	21661
960	2302	21658
961	2304	21652
962	2306	21644
963	2308	21641
964	2311	21644
965	2314	21645
966	2317	21645
967	2319	21641
968	2321	21636
969	2323	21632
970	2326	21633
971	2329	21633
972	2331	21633
973	2333	21628
974	2335	21622
975	2338	21616
976	2340	21617
977	2343	21617
978	2345	21616
979	2348	21614
980	2350	21607
981	2351	21598
982	2353	21591
983	2356	21587
984	2358	21588
985	2360	21581
986	2362	21577
987	2365	21573
988	2367	21567
989	2369	21560
990	2371	21558
991	2372	21540
992	2374	21535
993	2376	21531
994	2378	21529
995	2380	21522
996	2382	21514
997	2384	21511
998	2386	21504
999	2389	21502
1000	2391	21499
1001	2393	21492
1002	2395	21486
1003	2397	21480
1004	2399	21476
1005	2401	21467
1006	2403	21464
1007	2406	21465
1008	2408	21461
1009	2410	21459
1010	2412	21454
1011	2414	21448
1012	2416	21439
1013	2419	21441
1014	2422	21440
1015	2424	21436
1016	2426	21432
1017	2428	21430
1018	2430	21424
1019	2432	21417
1020	2434	21412
1021	2438	21418
1022	2440	21416
1023	2442	21412
1024	2445	21409
1025	2446	21402
1026	2449	21397
1027	2451	21399
1028	2454	21398
1029	2456	21393
1030	2458	21390
1031	2460	21385
1032	2462	21379
1033	2465	21374
1034	2467	21371
1035	2469	21367
1036	2471	21363
1037	2474	21360
1038	2475	21354
1039	2477	21347
1040	2479	21340
1041	2481	21336
1042	2484	21336
1043	2486	21333
1044	2488	21325
1045	2490	21323
1046	2493	21323
1047	2495	21318
1048	2497	21314
1049	2500	21312
1050	2502	21309
1051	2505	21309
1052	2507	21308
1053	2511	21314
1054	2516	21339
1055	2520	21344
1056	2523	21349
1057	2525	21347
1058	2527	21342
1059	2529	21337
1060	2532	21340
1061	2535	21338
1062	2537	21336
1063	2540	21332
1064	2541	21325
1065	2543	21318
1066	2545	21313
1067	2548	21311
1068	2550	21306
1069	2552	21301
1070	2554	21297
1071	2556	21291
1072	2558	21285
1073	2560	21278
1074	2562	21277
1075	2565	21273
1076	2567	21268
1077	2569	21263
1078	2571	21257
1079	2573	21251
1080	2574	21244
1081	2576	21239
1082	2579	21236
1083	2581	21232
1084	2583	21224
1085	2585	21221
1086	2587	21217
1087	2589	21211
1088	2591	21203
1089	2593	21200
1090	2595	21197
1091	2598	21193
1092	2600	21189
1093	2602	21184
1094	2604	21179
1095	2605	21170
1096	2607	21164
1097	2610	21162
1098	2612	21161
1099	2614	21155
1100	2616	21150
1101	2618	21146
1102	2620	21139
1103	2622	21132
1104	2624	21126
1105	2626	21124
1106	2629	21124
1107	2631	21121
1108	2634	21118
1109	2636	21113
1110	2637	21106
1111	2639	21098
1112	2641	21095
1113	2644	21093
1114	2646	21087
1115	2648	21084
1116	2650	21078
1117	2652	21072
1118	2654	21066
1119	2656	21060
1120	2658	21058
1121	2661	21055
1122	2663	21052
1123	2665	21048
1124	2667	21043
1125	2669	21036
1126	2671	21029
1127	2673	21026
1128	2676	21026
1129	2678	21022
1130	2680	21018
1131	2682	21013
1132	2684	21006
1133	2686	21002
1134	2688	20997
1135	2690	20995
1136	2692	20990
1137	2694	20986
1138	2697	20984
1139	2699	20982
1140	2701	20978
1141	2704	20977
1142	2707	20976
1143	2709	20976
1144	2711	20972
1145	2714	20969
1146	2716	20964
1147	2717	20957
1148	2720	20954
1149	2722	20952
1150	2725	20952
1151	2727	20949
1152	2729	20946
1153	2731	20941
1154	2733	20935
1155	2735	20930
1156	2738	20930
1157	2740	20926
1158	2742	20922
1159	2745	20919
1160	2746	20912
1161	2748	20907
1162	2750	20900
1163	2752	20897
1164	2755	20897
1165	2757	20891
1166	2759	20887
1167	2761	20883
1168	2763	20876
1169	2765	20873
1170	2767	20866
1171	2770	20868
1172	2772	20866
1173	2774	20860
1174	2777	20857
1175	2779	20852
1176	2781	20847
1177	2782	20839
1178	2784	20835
1179	2787	20835
1180	2789	20832
1181	2792	20829
1182	2794	20823
1183	2795	20817
1184	2797	20810
1185	2799	20807
1186	2802	20805
1187	2804	20804
1188	2806	20799
1189	2809	20796
1190	2811	20791
1191	2813	20786
1192	2814	20780
1193	2817	20778
1194	2820	20779
1195	2822	20777
1196	2824	20772
1197	2826	20769
1198	2828	20765
1199	2831	20763
1200	2834	20766
1201	2836	20764
1202	2839	20765
1203	2842	20767
1204	2845	20767
1205	2847	20764
1206	2850	20763
1207	2852	20763
1208	2855	20764
1209	2857	20760
1210	2860	20758
1211	2862	20755
1212	2865	20758
1213	2868	20757
1214	2870	20756
1215	2873	20754
1216	2875	20749
1217	2876	20743
1218	2879	20745
1219	2883	20750
1220	2885	20746
1221	2887	20744
1222	2890	20745
1223	2893	20743
1224	2896	20745
1225	2899	20749
1226	2901	20747
1227	2904	20746
1228	2906	20745
1229	2909	20742
1230	2911	20738
1231	2914	20742
1232	2917	20741
1233	2919	20741
1234	2921	20736
1235	2923	20731
1236	2926	20732
1237	2930	20738
1238	2933	20740
1239	2935	20738
1240	2937	20734
1241	2939	20730
1242	2941	20726
1243	2944	20725
1244	2947	20725
1245	2949	20723
1246	2952	20721
1247	2954	20719
1248	2956	20714
1249	2959	20714
1250	2962	20715
1251	2964	20713
1252	2966	20711
1253	2969	20709
1254	2971	20703
1255	2973	20699
1256	2975	20699
1257	2978	20699
1258	2981	20699
1259	2983	20696
1260	2986	20695
1261	2988	20690
1262	2990	20687
1263	2993	20691
1264	2996	20690
1265	2998	20688
1266	3001	20685
1267	3003	20681
1268	3005	20679
1269	3009	20684
1270	3011	20682
1271	3014	20683
1272	3016	20679
1273	3018	20677
1274	3020	20672
1275	3023	20673
1276	3026	20673
1277	3028	20671
1278	3031	20669
1279	3033	20666
1280	3035	20662
1281	3038	20661
1282	3041	20663
1283	3043	20660
1284	3046	20658
1285	3048	20655
1286	3050	20651
1287	3052	20648
1288	3055	20649
1289	3058	20649
1290	3061	20649
1291	3063	20645
1292	3065	20642
1293	3067	20638
1294	3070	20637
1295	3073	20639
1296	3075	20636
1297	3077	20634
1298	3080	20631
1299	3082	20630
1300	3085	20630
1301	3088	20630
1302	3090	20630
1303	3093	20631
1304	3095	20626
1305	3098	20624
1306	3100	20622
1307	3103	20623
1308	3105	20622
1309	3108	20620
1310	3110	20618
1311	3115	20629
1312	3118	20630
1313	3120	20628
1314	3122	20625
1315	3125	20621
1316	3127	20620
1317	3129	20615
1318	3132	20614
1319	3135	20615
1320	3137	20612
1321	3139	20611
1322	3142	20608
1323	3144	20605
1324	3146	20601
1325	3149	20600
1326	3151	20598
1327	3154	20596
1328	3156	20594
1329	3158	20591
1330	3160	20587
1331	3163	20583
1332	3165	20583
1333	3168	20582
1334	3170	20580
1335	3173	20578
1336	3175	20574
1337	3177	20568
1338	3179	20565
1339	3182	20565
1340	3184	20562
1341	3186	20559
1342	3188	20555
1343	3190	20548
1344	3192	20543
1345	3194	20538
1346	3196	20535
1347	3199	20536
1348	3201	20533
1349	3204	20531
1350	3206	20526
1351	3208	20521
1352	3210	20516
1353	3212	20516
1354	3215	20513
1355	3217	20508
1356	3219	20505
1357	3221	20499
1358	3223	20494
1359	3225	20488
1360	3227	20484
1361	3229	20484
1362	3232	20481
1363	3234	20476
1364	3236	20473
1365	3238	20467
1366	3240	20463
1367	3242	20457
1368	3245	20459
1369	3247	20456
1370	3249	20452
1371	3251	20449
1372	3253	20444
1373	3255	20437
1374	3257	20431
1375	3259	20429
1376	3262	20428
1377	3264	20425
1378	3266	20422
1379	3268	20416
1380	3270	20410
1381	3272	20404
1382	3274	20403
1383	3278	20407
1384	3280	20408
1385	3283	20404
1386	3285	20400
1387	3286	20394
1388	3288	20387
1389	3291	20387
1390	3293	20385
1391	3296	20383
1392	3298	20381
1393	3300	20377
1394	3302	20373
1395	3304	20368
1396	3307	20366
1397	3309	20364
1398	3311	20360
1399	3314	20359
1400	3316	20355
1401	3318	20350
1402	3320	20345
1403	3322	20343
1404	3325	20344
1405	3327	20341
1406	3330	20340
1407	3332	20336
1408	3334	20333
1409	3336	20329
1410	3339	20329
1411	3342	20330
1412	3345	20329
1413	3347	20325
1414	3349	20322
1415	3351	20317
1416	3353	20313
1417	3356	20313
1418	3359	20312
1419	3361	20309
1420	3363	20304
1421	3365	20303
1422	3367	20299
1423	3370	20299
1424	3373	20299
1425	3375	20297
1426	3378	20296
1427	3380	20291
1428	3382	20289
1429	3385	20288
1430	3388	20290
1431	3390	20289
1432	3393	20286
1433	3395	20283
1434	3397	20280
1435	3399	20275
1436	3402	20274
1437	3405	20275
1438	3407	20273
1439	3410	20271
1440	3412	20269
1441	3414	20266
1442	3417	20265
1443	3420	20265
1444	3422	20261
1445	3424	20259
1446	3427	20256
1447	3429	20253
1448	3431	20251
1449	3434	20251
1450	3436	20248
1451	3437	20236
1452	3439	20234
1453	3441	20230
1454	3444	20227
1455	3446	20224
1456	3449	20223
1457	3452	20225
1458	3455	20225
1459	3457	20223
1460	3459	20221
1461	3461	20217
1462	3463	20213
1463	3466	20212
1464	3471	20224
1465	3473	20220
1466	3475	20217
1467	3478	20215
1468	3480	20214
1469	3483	20216
1470	3487	20218
1471	3489	20218
1472	3492	20215
1473	3494	20213
1474	3497	20214
1475	3500	20213
1476	3502	20210
1477	3504	20208
1478	3506	20204
1479	3508	20197
1480	3510	20191
1481	3513	20194
1482	3516	20193
1483	3518	20192
1484	3521	20189
1485	3523	20186
1486	3525	20182
1487	3527	20179
1488	3530	20178
1489	3532	20177
1490	3535	20174
1491	3537	20172
1492	3539	20169
1493	3541	20165
1494	3544	20165
1495	3547	20163
1496	3549	20159
1497	3551	20158
1498	3553	20155
1499	3556	20151
1500	3558	20150
1501	3561	20150
1502	3563	20147
1503	3566	20147
1504	3568	20144
1505	3571	20140
1506	3573	20136
1507	3575	20133
1508	3578	20134
1509	3580	20130
1510	3582	20128
1511	3585	20126
1512	3587	20124
1513	3589	20120
