code,name,category
Ash_Plantain_LCVEG_1kg,Ash Plantain 1kg,Low Country Vegetables
Ash_Pumpkin_LCVEG_1kg,Ash Pumpkin 1kg,Low Country Vegetables
Bandakka_LCVEG_1kg,Bandakka 1kg,Low Country Vegetables
Brinjal_LCVEG_1kg,Brinjal 1kg,Low Country Vegetables
Bitter_Guard_LCVEG_1kg,Bitter Guard 1kg,Low Country Vegetables
Cucumber_LCVEG_1kg,Cucumber 1kg,Low Country Vegetables
Red_Pumpkin_LCVEG_1kg,Red Pumpkin 1kg,Low Country Vegetables
Snake_Gourd_LCVEG_1kg,Snake Gourd 1kg,Low Country Vegetables
Kohila_Yams_LCVEG_1kg,Kohila Yams 1kg,Low Country Vegetables
Vetakolu_LCVEG_1kg,Vetakolu 1kg,Low Country Vegetables
Green_Chillies_LCVEG_1kg,Green Chillies 1kg,Low Country Vegetables
Cap_Chillies_LCVEG_1kg,Cap Chillies 1kg,Low Country Vegetables
Leeks_UPCVEG_1kg,Leeks 1kg,Up Country Vegetables
Limes_LCVEG_1kg,Limes 1kg,Low Country Vegetables
Potatoes_Local_POTATOES_1Kg,Local Potatoes 1Kg,Potatoes
Potatoes_Imported_POTATOES_1Kg,Imported Potatoes 1Kg,Potatoes
Beans_Butter_UPCVEG_1kg,Beans Butter 1kg,Up Country Vegetables
Beans_Green_UPCVEG_1kg,Beans Green 1kg,Up Country Vegetables
LongBeans_LCVEG_1kg,Long Beans 1kg,Low Country Vegetables
BeetRoot_UPCVEG_1kg,Beet Root 1kg,Up Country Vegetables
CabbaggeSeed_UPCVEG_1kg,Cabbagge Seed 1kg,Up Country Vegetables
Carrot_UPCVEG_1kg,Carrot 1kg,Up Country Vegetables
Drumstick_LCVEG_1kg,Drumstick 1kg,Low Country Vegetables
KnolKhol_UPCVEG_1kg,KnolKhol 1kg,Up Country Vegetables
Raddish_UPCVEG_1kg,Raddish 1kg,Up Country Vegetables
Tomatoe_No1._UPCVEG_1kg,Tomatoe No1. 1kg,Up Country Vegetables
