Date,"Buy Rate","Sell Rate"

2024-04-19,296.8792,306.5961
2024-04-18,296.9030,306.4145
2024-04-17,295.2800,305.1931
2024-04-16,294.2057,303.5476
2024-04-15,293.7979,303.2586
2024-04-10,293.6852,303.3335
2024-04-09,294.0863,303.4415
2024-04-08,294.3442,303.8976
2024-04-05,294.9271,304.2846
2024-04-04,295.0963,304.5631
2024-04-03,295.2486,304.6043
2024-04-02,295.2015,304.9073
2024-04-01,295.5750,305.1018
2024-03-28,295.5429,305.3339
2024-03-27,296.7631,306.3453
2024-03-26,297.6319,307.3326
2024-03-25,298.4579,307.9921
2024-03-22,298.9909,308.6902
2024-03-21,299.0465,308.8069
2024-03-20,299.1361,308.7249
2024-03-19,299.2940,308.9065
2024-03-18,300.0562,309.6749
2024-03-15,300.6026,310.2053
2024-03-14,301.0130,310.6428
2024-03-13,301.7622,311.0041
2024-03-12,302.0716,311.4500
2024-03-11,302.6227,311.9825
2024-03-07,303.0947,312.4368
2024-03-06,302.9735,312.6086
2024-03-05,303.0472,312.6876
2024-03-04,303.8123,313.4131
2024-03-01,304.7116,314.2362
2024-02-29,305.1682,314.8771
2024-02-28,305.5624,315.2986
2024-02-27,306.0623,315.7299
2024-02-26,306.0865,315.8517
2024-02-22,306.5399,316.0679
2024-02-21,307.1414,316.8174
2024-02-20,307.3445,317.1692
2024-02-19,307.4708,317.2903
2024-02-16,307.7043,317.7620
2024-02-15,308.2195,318.0679
2024-02-14,308.2669,318.1678
2024-02-13,308.5844,318.4655
2024-02-12,308.1990,317.8272
2024-02-09,308.3194,318.2311
2024-02-08,308.4949,318.5839
2024-02-07,308.5698,318.6869
2024-02-06,307.7464,317.6567
2024-02-05,307.7088,317.2528
2024-02-02,307.1762,316.9979
2024-02-01,310.5415,320.4082
2024-01-31,312.0964,321.8542
2024-01-30,312.8180,322.7398
2024-01-29,312.6759,322.7716
2024-01-26,313.1731,323.1775
2024-01-24,314.9824,324.7787
2024-01-23,315.0324,324.8287
2024-01-22,315.5076,325.3792
2024-01-19,315.9284,326.0600
2024-01-18,316.0759,325.6904
2024-01-17,316.7872,326.4384
2024-01-16,317.3574,327.1890
2024-01-12,317.7976,327.3582
2024-01-11,318.0763,327.6431
