Name,Price,Week,Month,Year,Season
Green_Chillies_LCVEG_1kg,276.39,1,1,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,129.14,1,1,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,129.7,1,1,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,139.71,1,1,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,279.36,2,1,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,125.65,2,1,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,128.0,2,1,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,132.41,2,1,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,351.61,3,1,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,118.86,3,1,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,125.37,3,1,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,130.26,3,1,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,363.47,4,1,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,121.14,4,1,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,127.18,4,1,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,128.0,4,1,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,357.59,1,2,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,117.06,1,2,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,124.32,1,2,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,125.56,1,2,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,352.94,2,2,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,119.33,2,2,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,126.11,2,2,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,131.2,2,2,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,351.39,3,2,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,120.0,3,2,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,125.56,3,2,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,132.8,3,2,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,360.83,4,2,2017,North-East Monsoon Season
Leeks_UPCVEG_1kg,113.68,4,2,2017,North-East Monsoon Season
BeetRoot_UPCVEG_1kg,130.29,4,2,2017,North-East Monsoon Season
Carrot_UPCVEG_1kg,129.3,4,2,2017,North-East Monsoon Season
Green_Chillies_LCVEG_1kg,351.19,1,3,2017,First Inter-monsoon Season
Leeks_UPCVEG_1kg,99.49,1,3,2017,First Inter-monsoon Season
